start_time,end_time,value
2021-08-05 22:51:38 +0300,2021-08-06 05:00:31 +0300,HKCategoryValueSleepAnalysisInBed
2021-08-06 23:42:49 +0300,2021-08-07 06:30:16 +0300,HKCategoryValueSleepAnalysisInBed
2021-08-07 22:51:43 +0300,2021-08-08 06:01:17 +0300,HKCategoryValueSleepAnalysisInBed
2021-08-08 22:30:00 +0300,2021-08-09 05:00:42 +0300,HKCategoryValueSleepAnalysisInBed
2021-08-10 01:26:39 +0300,2021-08-10 05:00:36 +0300,HKCategoryValueSleepAnalysisInBed
2021-08-10 22:30:00 +0300,2021-08-11 05:30:31 +0300,HKCategoryValueSleepAnalysisInBed
2021-08-11 22:30:00 +0300,2021-08-12 05:30:19 +0300,HKCategoryValueSleepAnalysisInBed
2021-08-12 22:30:00 +0300,2021-08-13 05:30:14 +0300,HKCategoryValueSleepAnalysisInBed
2021-08-13 22:44:46 +0300,2021-08-14 05:30:11 +0300,HKCategoryValueSleepAnalysisInBed
2021-08-15 00:30:00 +0300,2021-08-15 07:00:20 +0300,HKCategoryValueSleepAnalysisInBed
2021-08-15 22:39:43 +0300,2021-08-16 05:45:15 +0300,HKCategoryValueSleepAnalysisInBed
2021-08-16 23:19:15 +0300,2021-08-17 05:45:23 +0300,HKCategoryValueSleepAnalysisInBed
2021-08-17 23:17:04 +0300,2021-08-18 05:30:40 +0300,HKCategoryValueSleepAnalysisInBed
2021-08-19 06:47:42 +0300,2021-08-19 08:00:15 +0300,HKCategoryValueSleepAnalysisInBed
2021-08-19 23:50:03 +0300,2021-08-20 07:15:42 +0300,HKCategoryValueSleepAnalysisInBed
2021-08-21 00:21:42 +0300,2021-08-21 08:00:10 +0300,HKCategoryValueSleepAnalysisInBed
2021-08-22 00:33:44 +0300,2021-08-22 03:34:42 +0300,HKCategoryValueSleepAnalysisInBed
2021-08-23 02:27:34 +0300,2021-08-23 07:00:12 +0300,HKCategoryValueSleepAnalysisInBed
2021-08-24 00:16:19 +0300,2021-08-24 05:00:19 +0300,HKCategoryValueSleepAnalysisInBed
2021-08-24 23:54:26 +0300,2021-08-25 05:00:26 +0300,HKCategoryValueSleepAnalysisInBed
2021-08-25 23:41:14 +0300,2021-08-26 07:30:16 +0300,HKCategoryValueSleepAnalysisInBed
2021-08-27 01:14:59 +0300,2021-08-27 05:00:00 +0300,HKCategoryValueSleepAnalysisInBed
2021-08-27 23:00:09 +0300,2021-08-28 05:00:13 +0300,HKCategoryValueSleepAnalysisInBed
2021-08-29 00:25:28 +0300,2021-08-29 08:23:15 +0300,HKCategoryValueSleepAnalysisInBed
2021-08-29 08:25:08 +0300,2021-08-29 08:26:23 +0300,HKCategoryValueSleepAnalysisInBed
2021-08-30 01:08:11 +0300,2021-08-30 05:00:00 +0300,HKCategoryValueSleepAnalysisInBed
2021-08-31 07:34:30 +0300,2021-08-31 07:47:38 +0300,HKCategoryValueSleepAnalysisInBed
2021-08-31 23:04:53 +0300,2021-09-01 06:00:36 +0300,HKCategoryValueSleepAnalysisInBed
2021-09-02 01:04:58 +0300,2021-09-02 07:30:08 +0300,HKCategoryValueSleepAnalysisInBed
2021-09-03 01:09:18 +0300,2021-09-03 07:30:22 +0300,HKCategoryValueSleepAnalysisInBed
2021-09-03 22:30:00 +0300,2021-09-04 05:30:11 +0300,HKCategoryValueSleepAnalysisInBed
2021-09-05 06:51:59 +0300,2021-09-05 08:00:09 +0300,HKCategoryValueSleepAnalysisInBed
2021-09-05 23:17:30 +0300,2021-09-06 05:00:12 +0300,HKCategoryValueSleepAnalysisInBed
2021-09-06 22:30:00 +0300,2021-09-07 05:00:20 +0300,HKCategoryValueSleepAnalysisInBed
2021-09-07 23:35:10 +0300,2021-09-08 05:50:13 +0300,HKCategoryValueSleepAnalysisInBed
2021-09-08 23:09:18 +0300,2021-09-09 05:30:14 +0300,HKCategoryValueSleepAnalysisInBed
2021-09-09 23:20:18 +0300,2021-09-10 05:30:10 +0300,HKCategoryValueSleepAnalysisInBed
2021-09-11 00:48:43 +0300,2021-09-11 07:00:13 +0300,HKCategoryValueSleepAnalysisInBed
2021-09-11 23:22:31 +0300,2021-09-12 08:00:15 +0300,HKCategoryValueSleepAnalysisInBed
2021-09-12 22:56:21 +0300,2021-09-13 06:00:18 +0300,HKCategoryValueSleepAnalysisInBed
2021-09-13 23:47:19 +0300,2021-09-14 05:59:18 +0300,HKCategoryValueSleepAnalysisInBed
2021-09-14 05:59:57 +0300,2021-09-14 06:00:02 +0300,HKCategoryValueSleepAnalysisInBed
2021-09-14 23:25:00 +0300,2021-09-15 06:00:11 +0300,HKCategoryValueSleepAnalysisInBed
2021-09-15 22:30:00 +0300,2021-09-16 06:00:10 +0300,HKCategoryValueSleepAnalysisInBed
2021-09-16 23:00:32 +0300,2021-09-17 05:00:12 +0300,HKCategoryValueSleepAnalysisInBed
2021-09-18 06:58:17 +0300,2021-09-18 08:00:16 +0300,HKCategoryValueSleepAnalysisInBed
2021-09-18 22:55:54 +0300,2021-09-19 06:00:10 +0300,HKCategoryValueSleepAnalysisInBed
2021-09-19 23:25:38 +0300,2021-09-20 06:00:22 +0300,HKCategoryValueSleepAnalysisInBed
2021-09-21 00:07:28 +0300,2021-09-21 06:00:21 +0300,HKCategoryValueSleepAnalysisInBed
2021-09-21 23:14:24 +0300,2021-09-22 06:00:21 +0300,HKCategoryValueSleepAnalysisInBed
2021-09-22 22:30:00 +0300,2021-09-23 04:30:10 +0300,HKCategoryValueSleepAnalysisInBed
2021-09-23 23:55:05 +0300,2021-09-24 06:00:18 +0300,HKCategoryValueSleepAnalysisInBed
2021-09-24 23:42:57 +0300,2021-09-25 05:00:18 +0300,HKCategoryValueSleepAnalysisInBed
2021-09-25 23:15:01 +0300,2021-09-26 07:00:10 +0300,HKCategoryValueSleepAnalysisInBed
2021-09-26 22:30:00 +0300,2021-09-27 05:00:07 +0300,HKCategoryValueSleepAnalysisInBed
2021-09-27 23:07:00 +0300,2021-09-28 05:00:17 +0300,HKCategoryValueSleepAnalysisInBed
2021-09-29 00:25:45 +0300,2021-09-29 07:30:16 +0300,HKCategoryValueSleepAnalysisInBed
2021-09-30 00:23:05 +0300,2021-09-30 05:30:07 +0300,HKCategoryValueSleepAnalysisInBed
2021-09-30 22:57:43 +0300,2021-10-01 05:00:45 +0300,HKCategoryValueSleepAnalysisInBed
2021-10-01 22:54:12 +0300,2021-10-02 07:00:13 +0300,HKCategoryValueSleepAnalysisInBed
2021-10-03 00:04:34 +0300,2021-10-03 05:00:15 +0300,HKCategoryValueSleepAnalysisInBed
2021-10-03 22:47:34 +0300,2021-10-04 05:00:08 +0300,HKCategoryValueSleepAnalysisInBed
2021-10-04 23:15:43 +0300,2021-10-05 05:00:15 +0300,HKCategoryValueSleepAnalysisInBed
2021-10-05 23:42:40 +0300,2021-10-06 07:30:16 +0300,HKCategoryValueSleepAnalysisInBed
2021-10-06 23:19:59 +0300,2021-10-07 06:00:09 +0300,HKCategoryValueSleepAnalysisInBed
2021-10-07 22:30:00 +0300,2021-10-08 05:00:12 +0300,HKCategoryValueSleepAnalysisInBed
2021-10-08 22:56:19 +0300,2021-10-09 05:00:07 +0300,HKCategoryValueSleepAnalysisInBed
2021-10-09 23:26:33 +0300,2021-10-10 05:00:24 +0300,HKCategoryValueSleepAnalysisInBed
2021-10-10 23:13:21 +0300,2021-10-11 05:10:07 +0300,HKCategoryValueSleepAnalysisInBed
2021-10-11 22:48:06 +0300,2021-10-12 05:00:14 +0300,HKCategoryValueSleepAnalysisInBed
2021-10-12 22:58:41 +0300,2021-10-13 05:00:10 +0300,HKCategoryValueSleepAnalysisInBed
2021-10-13 23:53:16 +0300,2021-10-14 05:30:10 +0300,HKCategoryValueSleepAnalysisInBed
2021-10-14 22:42:05 +0300,2021-10-15 05:00:11 +0300,HKCategoryValueSleepAnalysisInBed
2021-10-16 00:17:12 +0300,2021-10-16 08:30:15 +0300,HKCategoryValueSleepAnalysisInBed
